# T muB eHG nBHG eQGP nBQGP 
0.09561750000000001 0.591 0.0007974977996204553 0.0006536421563111041 0.0008348413691079673 0.0006886267388958472 
0.0953714 0.592 0.0007931320070591102 0.0006513413848997122 0.0008302651311028846 0.0006861534516626041 
0.095125 0.593 0.000788769526399056 0.0006489653364063111 0.0008257034421719017 0.0006836715032689256 
0.09487820000000001 0.594 0.0007843432582683602 0.0006466000611185592 0.0008211562666390721 0.0006811807711464684 
0.094631 0.595 0.0007800224734184445 0.0006443001326626159 0.0008166235692704704 0.0006786813684301601 
0.09438339999999999 0.596 0.0007756989769987963 0.0006419270546404862 0.0008121053152713967 0.0006761734087289672 
0.0941356 0.597 0.0007714079740313397 0.0006395920762016702 0.0008076014702835713 0.0006736575259850807 
0.09388729999999999 0.598 0.0007670951976184764 0.000637201538464233 0.0008031120003823341 0.0006711330667884575 
0.0936387 0.599 0.0007628136191217459 0.0006348389442369594 0.0007986368720738487 0.0006686006697079372 
0.0933898   0.6 0.0007585717996547722 0.0006324383246410782 0.0007941760522923064 0.0006660604616027333 
0.0931405 0.601 0.000754335743494773 0.00063007323862144 0.0007897295083971293 0.0006635122940747189 
0.0928908 0.602 0.0007500711232672036 0.0006276471500209857 0.0007852972081701813 0.0006609562830505483 
0.0926408 0.603 0.0007458533748988112 0.0006252992533398041 0.0007808791198129716 0.0006583928277654591 
0.0923905 0.604 0.0007416682945441557 0.0006228947000764474 0.0007764752119438674 0.0006558220559825714 
0.0921399 0.605 0.0007375166060873725 0.0006204959099778671 0.0007720854535953016 0.0006532440956058135 
0.09188890000000001 0.606 0.0007332834053178173 0.0006180601346495233 0.0007677098142109844 0.0006506587810095185 
0.0916376 0.607 0.0007291544593393875 0.0006156478540507957 0.0007633482636431164 0.0006480665270291601 
0.091386 0.608 0.0007250446037596159 0.0006132295930370685 0.0007590007721495979 0.000645467462114807 
0.091134 0.609 0.0007209007856073436 0.0006108403354451223 0.0007546673103912424 0.0006428614108110747 
0.0908817  0.61 0.0007167563654444385 0.0006084017012412206 0.0007503478494289897 0.0006402487991288273 
0.09062909999999999 0.611 0.0007127236841810548 0.0006059556714944272 0.0007460423607211149 0.0006376297560245572 
0.0903762 0.612 0.0007086531633898911 0.000603526660582169 0.0007417508161204463 0.0006350044105655682 
0.09012300000000001 0.613 0.0007046331905925263 0.0006010819479080356 0.0007374731878715743 0.0006323728919256127 
0.0898695 0.614 0.0007004070612936832 0.0005986228801629958 0.0007332094486080613 0.0006297353293804822 
0.0896156 0.615 0.0006966132023772263 0.0005961570655040382 0.000728959571349656 0.0006270915288621693 
0.08936150000000001 0.616 0.0006925553891493282 0.0005937368061683585 0.0007247235294995018 0.0006244422636549025 
0.08910710000000001 0.617 0.0006886725505001105 0.0005912765111817211 0.0007205012968413482 0.0006217873429854626 
0.0888523 0.618 0.0006843980181443327 0.0005887530392624453 0.0007162928475367582 0.0006191265639994296 
0.0885973 0.619 0.0006806259901938233 0.000586320690520028 0.0007120981561223129 0.0006164607184804263 
0.088342  0.62 0.0006766559941259865 0.00058385998262842 0.000707917197506826 0.0006137896066961623 
0.0880864 0.621 0.000672662906133014 0.0005814120852270355 0.0007037499469685381 0.0006111133585086561 
0.0878305 0.622 0.0006684860401331651 0.0005789010689701888 0.00069959638015233 0.0006084321038448382 
0.0875743 0.623 0.0006648895866974498 0.0005764050819641515 0.0006954564730669136 0.0006057459726916753 
0.08731789999999999 0.624 0.0006609745011354324 0.0005739331960155634 0.0006913302020820439 0.0006030554443917398 
0.0870611 0.625 0.0006570890123726238 0.0005714729451725318 0.0006872175439257072 0.0006003599530714034 
0.08680410000000001 0.626 0.0006531420377699893 0.0005689485541502655 0.0006831184756813218 0.0005976603300084729 
0.08654680000000001 0.627 0.0006494493155048542 0.0005664438341982147 0.0006790329747849298 0.0005949563559389506 
0.0862893 0.628 0.0006455265616367418 0.0005639709288255342 0.0006749610190223899 0.000592248520488109 
0.0860315 0.629 0.0006416603542906815 0.0005614841155533668 0.0006709025865265646 0.0005895365990958103 
0.0857734  0.63 0.0006378441628542918 0.0005589403131897844 0.0006668576557745093 0.0005868207217497093 
0.08551510000000001 0.631 0.0006341739545637869 0.0005564682377638513 0.000662826205584652 0.0005841013852048435 
0.0852565 0.632 0.0006304097605524926 0.0005539611212350405 0.000658808215113979 0.0005813783573471814 
0.0849976 0.633 0.0006262686984317671 0.0005514165183810394 0.0006548036638552065 0.0005786517680710033 
0.08473850000000001 0.634 0.0006226274544504366 0.0005489230830913642 0.0006508125316339635 0.0005759221207962462 
0.0844792 0.635 0.0006189038281200227 0.0005464287915572703 0.0006468347986059564 0.0005731895519172412 
0.0842196 0.636 0.0006152562040823723 0.0005438884293304935 0.0006428704452541402 0.0005704538197423071 
0.0839597 0.637 0.0006114586932120463 0.000541339117332049 0.0006389194523858821 0.0005677150538788516 
0.0836996 0.638 0.0006080440897747184 0.0005388171323856691 0.0006349818011301267 0.0005649737658210379 
0.08343930000000001 0.639 0.0006040730783764219 0.000536334933322722 0.0006310574729345489 0.0005622300910821049 
0.08317870000000001  0.64 0.0006003957558766593 0.0005337950786816098 0.0006271464495627086 0.0005594837790567367 
0.082918 0.641 0.0005966840107052317 0.0005312516505263195 0.0006232487130912053 0.0005567357343981761 
0.08265689999999999 0.642 0.0005931252353047785 0.0005287375026491177 0.0006193642459068166 0.000553984928721253 
0.0823957 0.643 0.0005895290706726135 0.000526191018256863 0.0006154930307036469 0.0005512326595658619 
0.0821342 0.644 0.0005858421351583394 0.0005236641181537505 0.0006116350504802605 0.0005484782802255147 
0.0818725 0.645 0.0005823202397802747 0.0005211056932904768 0.0006077902885368176 0.0005457223141648219 
0.0816106 0.646 0.0005786384693601812 0.0005185775774590035 0.0006039587284721997 0.0005429648949704231 
0.0813484 0.647 0.0005751087267660363 0.0005160361168315706 0.0006001403541811393 0.0005402057578041838 
0.08108610000000001 0.648 0.0005715022003503551 0.0005134928108901025 0.0005963351498513336 0.0005374458301951427 
0.08082349999999999 0.649 0.0005679949796367935 0.000510917027178076 0.0005925430999605626 0.0005346844470491538 
0.0805608  0.65 0.0005643954524445615 0.000508401635766987 0.0005887641892737989 0.0005319225415052959 
0.08029779999999999 0.651 0.0005608519211804099 0.0005058635295602691 0.0005849984028403121 0.0005291594416537705 
0.0800346 0.652 0.0005573278858105475 0.0005033167450532474 0.0005812457259907675 0.0005263956803493188 
0.07977119999999999 0.653 0.0005538059284027423 0.0005007341016427301 0.0005775061443343221 0.0005236313888903359 
0.0795076 0.654 0.0005503523283880732 0.0004982070951825284 0.0005737796437557143 0.0005208666982107839 
0.07924379999999999 0.655 0.0005469563894846068 0.0004956561851184386 0.0005700662104123477 0.0005181017388755624 
0.0789799 0.656 0.0005433400253845701 0.0004930959114405745 0.0005663658307313674 0.0005153370517539405 
